 PositionAtECAL: Run = 30585 (X,Y) = ( 2.70885 , 0.575463 ) 	 PositionAtTarget: Run = 30585 (X,Y) = ( 2.609457873 , 1.096513558 ) 
 PositionAtECAL: Run = 30586 (X,Y) = ( 3.07872 , 0.901243 ) 	 PositionAtTarget: Run = 30586 (X,Y) = ( 2.597844132 , 1.096513558 ) 
 PositionAtECAL: Run = 30588 (X,Y) = ( 4.16431 , 1.29596 ) 	 PositionAtTarget: Run = 30588 (X,Y) = ( 2.585518983 , 1.096513558 ) 
 PositionAtECAL: Run = 30589 (X,Y) = ( 3.87294 , 0.172269 ) 	 PositionAtTarget: Run = 30589 (X,Y) = ( 2.585518983 , 1.104519808 ) 
 PositionAtECAL: Run = 30590 (X,Y) = ( 5.21684 , 0.775222 ) 	 PositionAtTarget: Run = 30590 (X,Y) = ( 2.585518983 , 1.10763476 )  
 PositionAtECAL: Run = 30591 (X,Y) = ( 4.09747 , 0.521824 ) 	 PositionAtTarget: Run = 30591 (X,Y) = ( 2.586874037 , 1.10763476 )  
 PositionAtECAL: Run = 30592 (X,Y) = ( 3.9053 , 0.172269 ) 	 PositionAtTarget: Run = 30592 (X,Y) = ( 2.617880621 , 1.10763476 )  
 PositionAtECAL: Run = 30593 (X,Y) = ( 4.19667 , 1.30708 ) 	 PositionAtTarget: Run = 30593 (X,Y) = ( 2.617880621 , 1.10763476 )  
 PositionAtECAL: Run = 30594 (X,Y) = ( 3.63224 , -0.118513 ) 	 PositionAtTarget: Run = 30594 (X,Y) = ( 2.617880621 , 1.10763476 )  
 PositionAtECAL: Run = 30595 (X,Y) = ( 4.2222 , 0.908187 ) 	 PositionAtTarget: Run = 30595 (X,Y) = ( 2.627420363 , 1.10763476 )  
 PositionAtECAL: Run = 30596 (X,Y) = ( 5.1094 , 0.131283 ) 	 PositionAtTarget: Run = 30596 (X,Y) = ( 2.643413467 , 1.10763476 )  
 PositionAtECAL: Run = 30598 (X,Y) = ( 4.123 , 0.521824 ) 	 PositionAtTarget: Run = 30598 (X,Y) = ( 2.643413467 , 1.10763476 )  
 PositionAtECAL: Run = 30599 (X,Y) = ( 5.1094 , 0.131283 ) 	 PositionAtTarget: Run = 30599 (X,Y) = ( 2.643413467 , 1.10763476 )  
 PositionAtECAL: Run = 30600 (X,Y) = ( 3.93418 , 0.172269 ) 	 PositionAtTarget: Run = 30600 (X,Y) = ( 2.643595366 , 1.10763476 )  
 PositionAtECAL: Run = 30603 (X,Y) = ( 4.12635 , 0.508437 ) 	 PositionAtTarget: Run = 30603 (X,Y) = ( 2.64675567 , 1.101342866 )  
 PositionAtECAL: Run = 30617 (X,Y) = ( 4.075   , 0.1157 ) 	 PositionAtTarget: Run = 30617 (X,Y) = ( 0. , 0. ) 
 PositionAtECAL: Run = 30619 (X,Y) = ( 5.24196 , 0.784524 ) 	 PositionAtTarget: Run = 30619 (X,Y) = ( 2.615109866 , 1.116936653 )  
 PositionAtECAL: Run = 30621 (X,Y) = ( 5.07662 , 0.140585 ) 	 PositionAtTarget: Run = 30621 (X,Y) = ( 2.610639385 , 1.116936653 ) 
 PositionAtECAL: Run = 30622 (X,Y) = ( 5.61913 , 0.784524 ) 	 PositionAtTarget: Run = 30622 (X,Y) = ( 2.866473942 , 1.116936653 ) 
 PositionAtECAL: Run = 30624 (X,Y) = ( 5.61558 , 0.784524 ) 	 PositionAtTarget: Run = 30624 (X,Y) = ( 2.990533774 , 1.116936653 ) 
 PositionAtECAL: Run = 30625 (X,Y) = ( 5.61558 , 0.784524 ) 	 PositionAtTarget: Run = 30625 (X,Y) = ( 2.984258443 , 1.116936653 ) 
 PositionAtECAL: Run = 30626 (X,Y) = ( 5.45024 , 0.140585 ) 	 PositionAtTarget: Run = 30626 (X,Y) = ( 2.984258443 , 1.116936653 ) 
 PositionAtECAL: Run = 30630 (X,Y) = ( 8.77317 , 0.385628 ) 	 PositionAtTarget: Run = 30630 (X,Y) = ( 2.984258443 , 1.116936653 ) 
 PositionAtECAL: Run = 30632 (X,Y) = ( 9.49831 , 0.186763 ) 	 PositionAtTarget: Run = 30632 (X,Y) = ( 2.656873308 , 1.047453304 ) 
 PositionAtECAL: Run = 30633 (X,Y) = ( 9.50202 , 0.186763 ) 	 PositionAtTarget: Run = 30633 (X,Y) = ( 2.657866049 , 1.051037448 ) 
 PositionAtECAL: Run = 30634 (X,Y) = ( 9.50202 , 0.186763 ) 	 PositionAtTarget: Run = 30634 (X,Y) = ( 2.660577857 , 1.051037448 ) 
 PositionAtECAL: Run = 30635 (X,Y) = ( 9.50202 , 0.186763 ) 	 PositionAtTarget: Run = 30635 (X,Y) = ( 2.660577857 , 1.051037448 ) 
 PositionAtECAL: Run = 30638 (X,Y) = ( 9.50202 , 0.186763 ) 	 PositionAtTarget: Run = 30638 (X,Y) = ( 2.660577857 , 1.051037448 ) 
 PositionAtECAL: Run = 30639 (X,Y) = ( 9.50784 , 0.186763 ) 	 PositionAtTarget: Run = 30639 (X,Y) = ( 2.6624559 , 1.051037448 )   
 PositionAtECAL: Run = 30640 (X,Y) = ( 9.50784 , 0.186763 ) 	 PositionAtTarget: Run = 30640 (X,Y) = ( 2.666403472 , 1.051037448 ) 
 PositionAtECAL: Run = 30641 (X,Y) = ( 9.53822 , 0.229056 ) 	 PositionAtTarget: Run = 30641 (X,Y) = ( 2.684702054 , 1.07648922 )  
 PositionAtECAL: Run = 30643 (X,Y) = ( 9.57557 , 0.229056 ) 	 PositionAtTarget: Run = 30643 (X,Y) = ( 2.73412947 , 1.093329895 )  
 PositionAtECAL: Run = 30647 (X,Y) = ( 9.66293 , 0.214393 ) 	 PositionAtTarget: Run = 30647 (X,Y) = ( 2.788553487 , 1.089671685 ) 
 PositionAtECAL: Run = 30649 (X,Y) = ( 9.86902 , 0.248338 ) 	 PositionAtTarget: Run = 30649 (X,Y) = ( 3.027565228 , 1.112611512 ) 
 PositionAtECAL: Run = 30650 (X,Y) = ( 9.78633 , 0.248338 ) 	 PositionAtTarget: Run = 30650 (X,Y) = ( 3.000345578 , 1.112611512 ) 
 
