80354	1750230991	1750245992	296.4436886	312.9280968	810	0	0	0	0	0	6.611886331741971	3.0695068427019554	0.8246926353318984	0	0	0	0	0	0	0	0	0	0.08906761223923457	0.1063702755445046	0	0	0	0	0	0	0	0	11.712736235953757	0.10650053547333194	13.18925022508755	0.08500521469509792	0	0	0	0	0	0	0	0	1	0	1	0
80357	1750261932	1750320351	294.8448664	311.2961955	3130	0	0	0	0	0	8.608437671941799	3.0801637662798798	0.8200922842996462	0	0	0	0	0	0	0	0	0	0.047104917123607065	0.06075695446433563	0	0	0	0	0	0	0	0	11.563585012538356	0.06320919212869303	13.690612338971642	0.0446994508823364	0	0	0	0	0	0	0	0	2	0	1	1
80361	1750332192	1750341291	294.8448664	311.2961955	480	0	0	0	0	0	8.311691770232917	2.97937996806772	0.8248779957300013	0	0	0	0	0	0	0	0	0	0.11706758074379588	0.15099217276446972	0	0	0	0	0	0	0	0	11.570591887338612	0.15253666156404844	13.473808023954437	0.11098563586840537	0	0	0	0	0	0	0	0	2	0	1	1
80362	1750342565	1750385047	294.8448664	311.2961955	2095	0	0	0	0	0	8.253518258359987	3.276510994675415	0.822412148329675	0	0	0	0	0	0	0	0	0	0.05909075021760495	0.07358971632644015	0	0	0	0	0	0	0	0	11.679452197417486	0.07468763425967939	13.565908089190192	0.05612909170895097	0	0	0	0	0	0	0	0	2	0	1	1
80367	1750391265	1750413800	294.8448664	311.2961955	1155	0	0	0	0	0	8.487976874130878	3.7387144121818685	0.8237555609639864	0	0	0	0	0	0	0	0	0	0.07423443270463922	0.09794668617796937	0	0	0	0	0	0	0	0	11.575987726385948	0.10127995342871277	13.853083381749626	0.06980270901242225	0	0	0	0	0	0	0	0	2	0	1	1
80369	1750418077	1750448521	293.2791233	309.4658198	1535	0	0	0	0	0	7.048427830960321	4.17227667478994	0.8212824605098649	0	0	0	0	0	0	0	0	0	0.06475992540067828	0.08313478424773688	0	0	0	0	0	0	0	0	11.626930852536779	0.08498388825533265	13.64908294809702	0.06124622347850117	0	0	0	0	0	0	0	0	3	0	1	1
80370	1750458408	1750481744	293.2791233	309.4658198	1260	0	0	0	0	0	6.858441523685345	3.7942029929574446	0.8191064983234547	0	0	0	0	0	0	0	0	0	0.07798131365982577	0.1089499937689708	0	0	0	0	0	0	0	0	11.26172918927736	0.12659323623464047	13.53460758948791	0.07995605275043438	0	0	0	0	0	0	0	0	3	0	1	1
80377	1750498119	1750534602	293.2791233	309.4658198	1960	0	0	0	0	0	6.779410984397808	3.8408128968831767	0.8209854999343196	0	0	0	0	0	0	0	0	0	0.05709431856951981	0.07433234928535815	0	0	0	0	0	0	0	0	11.688407603520613	0.07690427195724503	13.843049606163927	0.05403578487227545	0	0	0	0	0	0	0	0	3	0	1	1
80379	1750539390	1750564842	293.2791233	309.4658198	1365	0	0	0	0	0	6.903530558041358	4.014926792568841	0.8228293541026781	0	0	0	0	0	0	0	0	0	0.06984743922230195	0.09112637634421764	0	0	0	0	0	0	0	0	11.612632107068533	0.09367367755640466	13.780412533674	0.06668714678162058	0	0	0	0	0	0	0	0	3	0	1	1
80381	1750567468	1750598996	293.2791233	309.4658198	1695	0	0	0	0	0	-9.193963255896882	-2.5020131801408354	0.4596038838188586	0	0	0	0	0	0	0	0	0	3.6932225534872236	1.8845906989963315	0	0	0	0	0	0	0	0	44.804186348466196	1.9209371714194496	28.701967800119508	3.566401559305156	0	0	0	0	0	0	0	0	3	0	0	1
80383	1750605144	1750652619	291.7354329	307.8890503	2550	0	0	0	0.8	-5.	8.334366137020556	10.03197021751	0.8232561866502025	0	0	0	0	0	0	0	0	0	0.0495074549010736	0.06650238278946619	0	0	0	0	0	0	0	0	11.665198036765592	0.07030484892243205	14.113747801330351	0.04728170606605708	0	0	0	0	0	0	0	0	4	0	1	1
80385	1750654272	1750696213	291.7354329	307.8890503	2245	0	0	0	0	0	8.238834715406277	4.174092231874021	0.8206770471193016	0	0	0	0	0	0	0	0	0	0.05463553763900635	0.07336033531822607	0	0	0	0	0	0	0	0	11.649996619985851	0.07779350866042467	14.156655119241213	0.05187442911921991	0	0	0	0	0	0	0	0	4	0	1	1
80386	1750696727	1750742945	291.7354329	307.8890503	2410	0	0	0	0	0	8.243888792153246	3.8098520621356133	0.8188062846147609	0	0	0	0	0	0	0	0	0	0.05313560880599432	0.06989318977665823	0	0	0	0	0	0	0	0	11.632752066751188	0.07308035833357884	13.910923640639753	0.050018365694840305	0	0	0	0	0	0	0	0	4	0	1	1
80388	1750745338	1750755762	291.7354329	307.8890503	560	0	0	0	0	0	8.240644831858498	4.260055985320175	0.81702031842878	0	0	0	0	0	0	0	0	0	0.12336711519853454	0.15335812774785146	0	0	0	0	0	0	0	0	11.423965919321452	0.16008513520170187	14.036807461314822	0.12748195257066808	0	0	0	0	0	0	0	0	4	0	1	1
80390	1750757624	1750805421	290.3571379	306.3563862	2475	0	0	0	0	0	7.601738348849528	4.568072532668189	0.8208070502174547	0	0	0	0	0	0	0	0	0	0.050205740620804865	0.06812972823635757	0	0	0	0	0	0	0	0	11.751735216941423	0.07292037998350498	14.341629235584692	0.04752330813043759	0	0	0	0	0	0	0	0	5	0	1	1
80391	1750809686	1750855186	290.3571379	306.3563862	2315	0	0	0	0	0	7.577331263181295	4.4735287803746715	0.8200998318514531	0	0	0	0	0	0	0	0	0	0.053289708310577756	0.07291071303472375	0	0	0	0	0	0	0	0	11.725304434304906	0.07754963216762256	14.369099393769442	0.05050457816160847	0	0	0	0	0	0	0	0	5	0	1	1
80392	1750855930	1750913696	290.3571379	306.3563862	3030	0	0	0	0	0	7.632912900125778	4.6260655450249155	0.8189545066901621	0	0	0	0	0	0	0	0	0	0.04581925052260861	0.06470125245931027	0	0	0	0	0	0	0	0	11.667192927646736	0.068194940529823	14.420593910992876	0.04361414519222517	0	0	0	0	0	0	0	0	5	0	1	1
