# TMM strip-by-strip overall calibration constants
# correction factor definition: q_cal = q_raw * correction
# correction = q_ref / q_i
# RunID view strip correction err_correction
677 X 215 1.01743 0.000385728
677 X 216 0.991094 0.000378557
677 X 217 0.979488 0.000370126
677 X 218 1.03452 0.000399328
677 X 219 0.982632 0.000376939
677 X 220 1.00033 0.000382536
677 X 221 0.950317 0.000363137
677 X 222 0.955851 0.000364278
677 X 223 0.996854 0.000379104
677 X 224 0.911085 0.000340629
677 X 225 0.99657 0.000377868
677 X 226 0.966005 0.000300222
677 X 227 0.923345 0.000360501
677 X 228 0.982856 0.000397129
677 X 229 0.878796 0.000363977
677 X 230 0.947308 0.000403182
677 X 231 0.894397 0.000377928
677 X 232 0.89325 0.000386833
677 X 233 0.9346 0.0004087
677 X 234 0.918203 0.000489681
677 X 235 1.11622 0.000418746
677 X 236 1.06953 0.000405279
677 X 237 1.05644 0.000398758
677 X 238 1.06139 0.000402211
677 X 239 1.05982 0.000400641
677 X 240 1.06828 0.000401376
677 X 241 1.04423 0.000395627
677 X 242 1.05575 0.00039685
677 X 243 1.02941 0.000389924
677 X 244 1.04674 0.00039449
677 X 245 1.02918 0.000390832
677 X 246 1.01268 0.000386499
677 X 247 1.03014 0.000392843
677 X 248 1.01262 0.000384849
677 X 249 1.00106 0.000380584
677 X 250 1.034 0.00039364
677 X 251 0.922162 0.000344015
677 X 252 0.943031 0.000349156
677 X 253 0.930787 0.000345931
677 X 254 0.915013 0.0003369
677 X 255 0.953815 0.000351293
677 X 256 0.901115 0.000331967
677 X 257 0.948744 0.000348526
677 X 258 0.904982 0.000332898
677 X 259 0.922738 0.000336887
677 X 260 0.994248 0.000365144
677 X 261 0.968244 0.000352852
677 X 262 1.05111 0.000380612
677 X 263 0.913849 0.000340121
677 X 264 0.943635 0.000350212
677 X 265 0.975754 0.000369214
677 X 266 0.883846 0.000334355
677 X 267 0.967447 0.000366266
677 X 268 0.880681 0.0003404
677 X 269 0.945382 0.000365604
677 X 270 0.915282 0.000351863
677 X 271 0.920472 0.000356427
677 X 272 0.961989 0.000370876
677 X 273 0.961847 0.000385347
677 X 274 0.935469 0.000368702
677 X 275 1.01931 0.000414017
677 X 276 0.9754 0.000442855
677 X 277 1.37977 0.000696964
677 X 278 0.953474 0.000433078
677 X 279 1.22411 0.000781417
677 X 280 0.981325 0.000443927
677 X 281 0.885678 0.00303224
677 X 282 0.982731 0.000450395
677 X 283 3.65417 0.0123788
677 X 284 0.833123 0.000399825
677 X 285 4.29287 0.00852671
677 X 286 0.842121 0.000413494
677 X 287 0.841485 0.00205806
677 X 288 1.00574 0.000472367
677 X 289 0.684816 0.00596726
677 X 290 1.06475 0.000559608
677 X 291 0.873294 0.00192448
677 X 292 1.18613 0.000696333
677 X 293 0.935881 0.000438736
677 X 294 0.929093 0.000412532
677 X 295 0.860624 0.000386322
677 X 296 0.941105 0.000424759
677 X 297 0.934038 0.00044635
677 X 298 0.873511 0.000369339
677 X 299 0.964307 0.000451326
677 X 300 0.904839 0.000422715
677 X 301 0.943128 0.000447776
677 X 302 0.968253 0.000469542
677 X 303 0.948344 0.000441183
677 X 304 1.04987 0.000541265
677 X 305 0.972963 0.000458776
677 X 306 1.11981 0.000585265
677 X 307 1.04705 0.000486614
677 X 308 1.09152 0.000583097
677 X 309 0.968627 0.0004191
677 X 310 0.938506 0.000463667
677 X 311 0.979436 0.000410766
677 X 312 0.977284 0.000411989
677 X 313 1.03163 0.000504985
677 X 314 1.00644 0.000431931
677 X 315 1.04485 0.000556434
677 X 316 1.00412 0.000452785
677 X 317 1.00941 0.000483319
677 X 318 0.949931 0.000496492
677 X 319 0.998075 0.000600991
677 X 320 0.862604 0.000657824
677 X 321 0.90588 0.000628692
677 X 322 0.742801 0.000626866
677 X 323 0.768139 0.000946583
677 X 324 0.528606 0.011007
677 X 325 0.788185 0.00278385
677 X 326 0.766161 0.00393984
677 X 327 0.763046 0.00429625
677 X 328 0.765723 0.00578772
677 X 329 0.780541 0.001429
677 X 330 0.755225 0.00205126
677 X 331 0.78341 0.0029372
677 X 332 0.735639 0.00323731
677 X 333 0.85479 0.0105638
677 X 334 0.852312 0.00934497
677 X 335 0.979047 0.00583657
677 X 336 0.91066 0.00536208
677 X 337 0.939662 0.00485301
677 X 338 0.901733 0.0046551
677 X 339 0.906478 0.00451645
677 X 340 0.885913 0.00451324
677 X 341 0.855904 0.00447719
677 X 342 0.816209 0.00399076
677 X 343 0.813456 0.00390114
677 X 344 0.766474 0.00376014
677 X 345 1 0
677 X 346 0.736773 0.00359576
677 X 347 0.727945 0.00361296
677 X 348 0.679899 0.0032574
677 X 349 0.683157 0.00357222
677 X 350 0.652112 0.00319299
677 X 351 0.652117 0.00332968
677 X 352 0.618139 0.00338175
677 X 353 0.607977 0.00325257
677 X 354 0.578473 0.00284536
677 X 355 0.5647 0.00271259
677 X 356 0.541737 0.00244106
677 X 357 1 0
677 Y 0 1 0
677 Y 1 1.0451 0.00276213
677 Y 2 1.07953 0.00338501
677 Y 3 1.08025 0.0024807
